track_name,artist(s)_name,artist_count,released_year,released_month,released_day,in_spotify_playlists,in_spotify_charts,streams,bpm,key,mode,danceability_%,valence_%,energy_%,acousticness_%,instrumentalness_%,liveness_%,speechiness_%,cover_url,estacion
Classy 101,"Feid, Young Miko",2,2023,3,31,2610,40,335222234,100,B,Major,86,67,66,14,0,12,16,https://i.scdn.co/image/ab67616d0000b27329ebee2b5fb008871fcd201a,Primavera
Like Crazy,Jimin,1,2023,3,24,596,68,363369738,120,G,Major,63,36,73,0,0,36,4,https://i.scdn.co/image/ab67616d0000b2732b46078245d0120690eb560d,Primavera
LADY GAGA,"Gabito Ballesteros, Junior H, Peso Pluma",3,2023,6,22,332,26,86444842,140,F,Minor,65,87,74,22,0,42,4,Not Found,Verano
I Can See You (Taylorï¿½ï¿½ï¿½s Version) (From The ,Taylor Swift,1,2023,7,7,516,38,52135248,123,F#,Major,69,82,76,6,0,6,3,Not Found,Verano
"Peso Pluma: Bzrp Music Sessions, Vol. 55","Bizarrap, Peso Pluma",2,2023,5,31,1313,40,200647221,133,F,Minor,85,81,67,26,0,12,5,https://i.scdn.co/image/ab67616d0000b27315583045b2fdb7d7bab10e81,Primavera
Popular (with Playboi Carti & Madonna) - The Idol Vol. 1 (Music from the HBO Original Series),"The Weeknd, Madonna, Playboi Carti",3,2023,6,2,1945,87,115364561,99,C#,Major,85,83,68,7,0,36,20,https://i.scdn.co/image/ab67616d0000b2734c8f092adc59b4bf4212389d,Primavera
SABOR FRESA,Fuerza Regida,1,2023,6,22,250,26,78300654,130,G,Minor,79,96,86,9,0,9,9,https://i.scdn.co/image/ab67616d0000b273cfe3eb72c48b93971e53efd9,Verano
Calm Down (with Selena Gomez),"Rï¿½ï¿½ma, Selena G",2,2022,3,25,7112,77,899183384,107,B,Major,80,82,80,43,0,14,4,Not Found,Primavera
MOJABI GHOST,"Tainy, Bad Bunny",2,2023,6,29,859,40,61245289,122,F#,Minor,81,74,71,14,0,56,4,https://i.scdn.co/image/ab67616d0000b273de7b9af78fbdda96c5a0635b,Verano
Last Night,Morgan Wallen,1,2023,1,31,2420,19,429829812,204,F#,Major,52,52,68,46,0,15,4,https://i.scdn.co/image/ab67616d0000b273fc1df8423733f6f3c9e8dea2,Invierno
Dance The Night (From Barbie The Album),Dua Lipa,1,2023,5,25,2988,101,127408954,110,B,Minor,67,78,85,2,0,33,5,https://i.scdn.co/image/ab67616d0000b2737dd3ba455ee3390cb55b0192,Primavera
Rush,Troye Sivan,1,2023,7,13,864,78,22581161,126,F,Minor,74,35,84,0,0,11,6,https://i.scdn.co/image/ab67616d0000b273a4ffb2049ffce92bdae5f559,Verano
TULUM,"Peso Pluma, Grupo Frontera",2,2023,6,28,266,34,52294266,168,F#,Major,56,63,87,39,0,11,5,https://i.scdn.co/image/ab67616d0000b2732fb583ed96f8f35cbf2897ba,Verano
Creepin',"The Weeknd, 21 Savage, Metro Boomin",3,2022,12,2,6036,88,843957510,98,C#,Minor,71,17,61,36,0,8,5,https://i.scdn.co/image/ab67616d0000b273703d523982199b2d1f2c77f5,Oto�o
Anti-Hero,Taylor Swift,1,2022,10,21,9082,56,999748277,97,E,Major,64,51,63,12,0,19,5,https://i.scdn.co/image/ab67616d0000b273bb54dde68cd23e2a268ae0f5,Oto�o
TQG,"Karol G, Shakira",2,2023,2,23,4284,49,618990393,180,E,Minor,72,61,63,67,0,9,28,https://i.scdn.co/image/ab67616d0000b27382de1ca074ae63cb18fce335,Invierno
Frï¿½ï¿½gil (feat. Grupo Front,"Yahritza Y Su Esencia, Grupo Frontera",2,2023,4,7,672,34,188933502,150,F#,Major,61,39,73,37,0,11,3,Not Found,Primavera
Blank Space,Taylor Swift,1,2014,1,1,11434,53,1355959075,96,F,Major,75,57,68,9,0,13,6,https://i.scdn.co/image/ab67616d0000b2739abdf14e6058bd3903686148,Invierno
Style,Taylor Swift,1,2014,1,1,7830,42,786181836,95,D,Major,60,48,79,0,0,12,4,https://i.scdn.co/image/ab67616d0000b2739abdf14e6058bd3903686148,Invierno
TQM,Fuerza Regida,1,2023,5,19,584,28,176553476,125,F,Minor,79,96,85,27,0,11,6,https://i.scdn.co/image/ab67616d0000b273832ea5d2f8c10f95fc3cc66d,Primavera
El Azul,"Junior H, Peso Pluma",2,2023,2,10,692,25,354495408,144,A,Minor,56,84,65,23,0,10,6,https://i.scdn.co/image/ab67616d0000b27333ed356efed99b158c4267c6,Invierno
Sunflower - Spider-Man: Into the Spider-Verse,"Post Malone, Swae Lee",2,2018,10,9,24094,78,2808096550,90,D,Major,76,91,50,54,0,7,5,https://i.scdn.co/image/ab67616d0000b273e2e352d89826aef6dbd5ff8f,Oto�o
I'm Good (Blue),"Bebe Rexha, David Guetta",2,2022,8,26,12482,80,1109433169,128,G,Minor,56,38,97,4,0,35,4,Not Found,Verano
See You Again,"Tyler, The Creator, Kali Uchis",3,2017,7,21,13387,64,1047101291,79,F#,Major,56,58,56,37,0,11,10,https://i.scdn.co/image/ab67616d0000b2738940ac99f49e44f59e6f7fb3,Verano
Angels Like You,Miley Cyrus,1,2020,11,27,3372,19,570515054,122,F,Major,67,49,64,10,0,10,3,https://i.scdn.co/image/ab67616d0000b2738cffb7c6c40759eaf8a5a142,Oto�o
Die For You,The Weeknd,1,2016,11,24,2483,59,1647990401,134,C#,Minor,59,51,52,9,0,15,7,https://i.scdn.co/image/ab67616d0000b273a048415db06a5b6fa7ec4e1a,Oto�o
Starboy,"The Weeknd, Daft Punk",2,2016,9,21,29536,79,2565529693,186,G,Major,68,49,59,16,0,13,28,https://i.scdn.co/image/ab67616d0000b2734718e2b124f79258be7bc452,Verano
Die For You - Remix,"Ariana Grande, The Weeknd",2,2023,2,24,3408,47,518745108,67,C#,Minor,53,50,53,23,0,44,7,Not Found,Invierno
El Cielo,"Feid, Myke Towers, Sky Rompiendo",3,2023,6,2,1298,38,107753850,106,A#,Minor,72,17,64,7,0,10,5,Not Found,Primavera
Baby Don't Hurt Me,"David Guetta, Anne-Marie, Coi Leray",3,2023,4,6,4277,66,177740666,128,G,Major,60,23,91,0,0,12,3,https://i.scdn.co/image/ab67616d0000b2730b4ef75c3728599aa4104f7a,Primavera
AMARGURA,Karol G,1,2023,2,24,1133,39,153372011,107,F#,Minor,92,55,70,18,0,15,7,https://i.scdn.co/image/ab67616d0000b27382de1ca074ae63cb18fce335,Invierno
(It Goes Like) Nanana - Edit,Peggy Gou,1,2023,6,15,2259,59,57876440,130,G,Minor,67,96,88,12,19,8,4,https://i.scdn.co/image/ab67616d0000b2739a8459318ff1a68ecfd74522,Primavera
Another Love,Tom Odell,1,2012,10,15,18371,83,1813673666,123,E,Minor,45,13,54,70,0,9,4,https://i.scdn.co/image/ab67616d0000b2731917a0f3f4152622a040913f,Oto�o
Moonlight,Kali Uchis,1,2023,2,24,2649,42,256483385,137,G,Minor,64,88,72,51,0,17,5,https://i.scdn.co/image/ab67616d0000b27381fccd758776d16b87721b17,Invierno
La Bachata,Manuel Turizo,1,2022,5,26,6804,45,1214083358,125,G,Minor,84,85,68,58,0,22,4,https://i.scdn.co/image/ab67616d0000b273c9f744b0d62da795bc21d04a,Primavera
Tï¿½ï¿,"dennis, MC Kevin o Chris",2,2023,5,4,731,15,111947664,130,B,Major,86,59,96,50,1,9,5,Not Found,Primavera
Boy's a liar Pt. 2,"PinkPantheress, Ice Spice",2,2023,2,3,5184,41,156338624,133,F,Major,70,86,81,25,0,25,5,https://i.scdn.co/image/ab67616d0000b27342c5ba689b2e7cbc208a8fa7,Invierno
Left and Right (Feat. Jung Kook of BTS),"Charlie Puth, BTS, Jung Kook",3,2022,6,24,3107,39,720434240,101,D,Major,88,72,59,62,0,9,3,https://i.scdn.co/image/ab67616d0000b27335d2e0ed94a934f2cc46fa49,Verano
BESO,"Rauw Alejandro, ROSALï¿½",2,2023,3,24,4053,50,357925728,95,F,Minor,77,53,64,74,0,17,14,Not Found,Primavera
Hey Mor,"Ozuna, Feid",2,2022,10,6,4637,38,674072710,98,C#,Minor,90,40,59,0,0,10,29,https://i.scdn.co/image/ab67616d0000b273125624f2e04f5a1ccb0dfb45,Oto�o
Yellow,Chris Molitor,1,1999,1,1,31358,43,1755214421,173,B,Major,43,28,66,0,0,23,3,https://i.scdn.co/image/ab67616d0000b273be011d16b9360a7dee109774,Invierno
Karma,Taylor Swift,1,2022,10,21,3818,23,404562836,90,G#,Major,64,10,62,7,0,48,7,https://i.scdn.co/image/ab67616d0000b273bb54dde68cd23e2a268ae0f5,Oto�o
People,Libianca,1,2022,12,2,3506,56,373199958,198,A#,Minor,59,71,42,55,0,10,7,https://i.scdn.co/image/ab67616d0000b273fc342f95f117d48dbdde9735,Oto�o
Overdrive,Post Malone,1,2023,7,14,410,36,14780425,140,C#,Major,56,48,73,0,0,35,4,https://i.scdn.co/image/ab67616d0000b27372694fed173af6d24d22eefb,Verano
Enchanted (Taylor's Version),Taylor Swift,1,2023,7,7,148,24,39578178,82,G#,Major,51,22,53,1,0,15,3,https://i.scdn.co/image/ab67616d0000b2730b04da4f224b51ff86e0a481,Verano
BABY HELLO,"Rauw Alejandro, Bizarrap",2,2023,6,23,1004,35,54266102,130,C#,Minor,77,84,89,17,0,43,5,https://i.scdn.co/image/ab67616d0000b2730ff08e0346b55268e735a4e9,Verano
Heat Waves,Glass Animals,1,2020,6,28,22543,63,2557975762,81,B,Major,76,53,53,44,0,9,9,https://i.scdn.co/image/ab67616d0000b273712701c5e263efc8726b1464,Verano
golden hour,JVKE,1,2022,7,15,4511,36,751134527,94,C#,Minor,51,14,59,65,18,25,3,https://i.scdn.co/image/ab67616d0000b273c2504e80ba2f258697ab2954,Verano
Sweater Weather,The Neighbourhood,1,2012,5,14,16413,61,2282771485,124,A#,Major,61,41,81,5,2,10,3,https://i.scdn.co/image/ab67616d0000b2738265a736a1eb838ad5a0b921,Primavera
"Quevedo: Bzrp Music Sessions, Vol. 52","Bizarrap, Quevedo",2,2022,7,6,8506,45,1356565093,128,D,Major,62,55,78,1,3,23,4,https://i.scdn.co/image/ab67616d0000b2731630dd349221a35ce03a0ccf,Verano
Viva La Vida,Coldplay,1,2008,1,1,33898,62,1592909789,138,F,Minor,49,42,62,9,0,11,3,https://i.scdn.co/image/ab67616d0000b273e21cc1db05580b6f2d2a3b6e,Invierno
Here With Me,d4vd,1,2022,7,17,3246,23,635412045,132,E,Major,58,27,48,50,0,12,3,https://i.scdn.co/image/ab67616d0000b27364fa1bda999f4fbd2b7c4bb7,Verano
Unholy (feat. Kim Petras),"Sam Smith, Kim Petras",2,2022,9,22,8576,42,1230675890,131,D,Major,71,24,47,1,0,27,9,https://i.scdn.co/image/ab67616d0000b273a935e4689f15953311772cc4,Verano
Yandel 150,"Yandel, Feid",2,2022,12,20,3618,38,585695368,168,F#,Minor,78,58,73,5,0,10,7,https://i.scdn.co/image/ab67616d0000b273b2aec01b56eeb74610532700,Oto�o
CORAZï¿½ï¿½N VA,Maria Becerra,1,2023,6,22,370,20,43857627,98,C#,Major,68,40,79,33,0,30,6,Not Found,Verano
Riptide,Vance Joy,1,1975,1,1,31123,55,2009094673,102,C#,Major,48,50,73,43,0,15,4,https://i.scdn.co/image/ab67616d0000b273a9929deb093a6617d2493b03,Invierno
Until I Found You (with Em Beihold) - Em Beihold Version,"Em Beihold, Stephen Sanchez",2,2022,4,22,2790,30,600976848,101,A#,Major,34,32,57,78,0,20,3,Not Found,Primavera
Novidade na ï¿½ï¿,"Mc Livinho, DJ Matt D",2,2023,6,23,267,9,39709092,130,F,Major,63,36,34,76,0,35,9,Not Found,Verano
Back To December (Taylor's Version),Taylor Swift,1,2023,7,7,139,17,39228929,142,D,Major,50,20,64,1,0,12,3,https://i.scdn.co/image/ab67616d0000b2730b04da4f224b51ff86e0a481,Verano
STAY (with Justin Bieber),"Justin Bieber, The Kid Laroi",2,2021,7,9,17050,36,2665343922,170,C#,Major,59,48,76,4,0,10,5,Not Found,Verano
El Merengue,"Marshmello, Manuel Turizo",2,2023,3,3,2114,44,223633238,124,G#,Minor,78,70,68,3,1,11,4,https://i.scdn.co/image/ab67616d0000b273f404676577626a87d92cf33f,Invierno
Someone You Loved,Lewis Capaldi,1,2018,11,8,17836,53,2887241814,110,C#,Major,50,45,41,75,0,11,3,https://i.scdn.co/image/ab67616d0000b273fc2101e6889d6ce9025f85f2,Oto�o
Me Porto Bonito,"Chencho Corleone, Bad Bunny",2,2022,5,6,8870,43,1440757818,92,C#,Minor,91,43,71,9,0,9,8,Not Found,Primavera
Makeba,Jain,1,2015,6,22,6060,53,165484133,116,D,Major,82,40,66,39,51,25,7,https://i.scdn.co/image/ab67616d0000b27364ba66f8a81c52364e55db50,Verano
MONTAGEM - FR PUNK,"Ayparia, unxbected",2,2012,6,20,641,50,58054811,129,A,Major,63,84,82,70,8,9,7,Not Found,Primavera
Fast Car,Luke Combs,1,2023,3,24,1446,12,157058870,98,G#,Major,71,67,60,19,0,12,3,https://i.scdn.co/image/ab67616d0000b273ca650d3a95022e0490434ba1,Primavera
What It Is (Solo Version),Doechii,1,2023,3,17,804,25,95131998,172,C#,Minor,74,76,76,6,0,10,9,https://i.scdn.co/image/ab67616d0000b2732ee85751f6f503fa9a533eba,Invierno
Coco Chanel,"Bad Bunny, Eladio Carrion",2,2023,3,17,1962,38,250305248,150,D,Major,68,14,76,4,0,10,4,Not Found,Invierno
Donï¿½ï¿½ï¿½t Bl,Taylor Swift,1,2017,11,8,4875,23,685032533,136,A,Minor,62,19,53,11,0,6,4,Not Found,Oto�o
Still With You,Jung Kook,1,2020,6,5,31,39,38411956,88,C#,Minor,53,34,47,9,0,83,4,https://i.scdn.co/image/ab67616d0000b273a7f42c375578df426b37638d,Primavera
All My Life (feat. J. Cole),"J. Cole, Lil Durk",2,2023,5,12,2175,23,144565150,143,D#,Major,83,69,44,15,0,10,33,Not Found,Primavera
Say Yes To Heaven,Lana Del Rey,1,2023,3,17,2000,46,127567540,100,F#,Minor,49,17,35,71,9,11,3,https://i.scdn.co/image/ab67616d0000b273aa27708d07f49c82ff0d0dae,Invierno
Snooze,SZA,1,2022,12,9,2839,25,399686758,143,F,Major,56,39,55,14,0,11,13,https://i.scdn.co/image/ab67616d0000b27370dbc9f47669d120ad874ec1,Oto�o
Summertime Sadness,Lana Del Rey,1,2011,1,1,20333,52,983637508,112,C#,Minor,56,24,66,7,0,12,3,https://i.scdn.co/image/ab67616d0000b273f894be72a77b1488292672c7,Invierno
Take Two,BTS,1,2023,6,9,674,47,118482347,93,G,Major,62,57,59,3,0,38,3,https://i.scdn.co/image/ab67616d0000b2738a701e76e8845928f6cd81c8,Primavera
Lover,Taylor Swift,1,2012,1,1,8448,23,882831184,206,G,Major,43,50,55,50,0,15,10,https://i.scdn.co/image/ab67616d0000b273e787cffec20aa2a396a61647,Invierno
Too Many Nights (feat. Don Toliver & with Future),"Future, Metro Boomin, Don Toliver",3,2022,12,2,2110,58,286400165,88,G,Minor,68,17,71,15,0,11,5,https://i.scdn.co/image/ab67616d0000b27313e54d6687e65678d60466c2,Oto�o
Chemical,Post Malone,1,2023,4,14,2528,39,172825906,170,D,Major,50,37,90,0,0,12,5,https://i.scdn.co/image/ab67616d0000b273f76f8deeba5370c98ad38f1c,Primavera
Mockingbird,Eminem,1,2004,1,1,12985,61,1241559043,84,E,Minor,62,24,67,21,0,13,28,https://i.scdn.co/image/ab67616d0000b273726d48d93d02e1271774f023,Invierno
New Jeans,NewJeans,1,2023,7,7,77,35,29562220,134,E,Minor,81,53,72,51,0,12,5,https://i.scdn.co/image/ab67616d0000b2733d98a0ae7c78a3a9babaf8af,Verano
Primera Cita,Carin Leon,1,2022,4,20,266,27,77309611,158,A#,Major,54,50,40,61,0,10,6,https://i.scdn.co/image/ab67616d0000b273dc0bb68a08c069cf8467f1bd,Primavera
Cold Heart - PNAU Remix,"Dua Lipa, Elton John, Pnau",3,2017,11,10,21097,52,1605224506,116,C#,Major,80,92,80,4,0,10,3,Not Found,Oto�o
Dandelions,Ruth B.,1,2017,4,28,3423,21,1116995633,117,C#,Major,61,45,69,2,0,9,3,https://i.scdn.co/image/ab67616d0000b27397e971f3e53475091dc8d707,Primavera
Bones,Imagine Dragons,1,2021,3,11,4198,44,838079900,114,F,Minor,77,65,72,2,0,7,5,https://i.scdn.co/image/ab67616d0000b273fc915b69600dce2991a61f13,Invierno
Set Fire to the Rain,Adele,1,2011,1,1,14739,43,1163620694,108,D,Minor,61,47,68,0,0,13,3,https://i.scdn.co/image/ab67616d0000b2732118bf9b198b05a95ded6300,Invierno
Money Trees,"Kendrick Lamar, Jay Rock",2,2012,1,1,26792,32,1093605526,144,E,Minor,74,37,53,7,0,21,10,https://i.scdn.co/image/ab67616d0000b273d28d2ebdedb220e479743797,Invierno
Tak Segampang Itu,Anggi Marito,1,2022,12,2,213,6,179659294,130,F,Major,51,18,44,76,0,11,3,https://i.scdn.co/image/ab67616d0000b2732844c4e4e984ea408ab7fd6f,Oto�o
LAGUNAS,"Jasiel Nuï¿½ï¿½ez, Peso P",2,2023,6,22,58,18,39058561,116,B,Major,77,79,62,33,1,15,3,Not Found,Verano
Mine (Taylor's Version),Taylor Swift,1,2023,7,7,99,15,36912123,121,G,Major,65,49,78,0,0,17,4,https://i.scdn.co/image/ab67616d0000b2730b04da4f224b51ff86e0a481,Verano
Everybody Wants To Rule The World,Tears For Fears,1,1985,2,17,41751,25,1205951614,112,G,Major,64,54,81,36,0,11,6,https://i.scdn.co/image/ab67616d0000b27322463d6939fec9e17b2a6235,Invierno
No Role Modelz,J. Cole,1,2014,12,9,21164,36,1791000570,100,A#,Minor,70,47,52,30,0,6,33,https://i.scdn.co/image/ab67616d0000b273c6e0948bbb0681ff29cdbae8,Oto�o
Tattoo,Loreen,1,2023,2,25,2988,59,201660859,150,D#,Minor,55,30,78,24,0,12,8,https://i.scdn.co/image/ab67616d0000b2732b0ba87db609976eee193bd6,Invierno
Rara Vez,"Taiu, Milo j",2,2023,2,8,893,38,248088961,120,F,Minor,84,96,71,18,0,34,17,https://i.scdn.co/image/ab67616d0000b273d467bed4e6b2a01ea8569100,Invierno
VAGABUNDO,"Sebastian Yatra, Manuel Turizo, Beï¿½ï",3,2023,5,12,1094,34,90839753,127,B,Minor,82,89,85,4,0,23,6,Not Found,Primavera
august,Taylor Swift,1,2020,7,24,7324,22,607123776,90,F,Major,51,42,61,53,0,9,3,https://i.scdn.co/image/ab67616d0000b27395f754318336a07e85ec59bc,Verano
LUNA,"Junior H, Peso Pluma",2,2023,6,22,201,11,55842345,128,A,Minor,75,79,63,33,0,15,4,Not Found,Verano
Miracle (with Ellie Goulding),"Calvin Harris, Ellie Goulding",2,2023,3,10,5120,48,211050784,143,A,Major,64,31,87,4,4,8,4,https://i.scdn.co/image/ab67616d0000b273c58e22815048f8dfb1aa8bd0,Invierno
Nonsense,Sabrina Carpenter,1,2022,7,15,2346,27,342897938,139,G#,Major,74,68,68,3,0,26,4,https://i.scdn.co/image/ab67616d0000b273700f7bf79c9f063ad0362bdf,Verano
Que Vuelvas,"Carin Leon, Grupo Frontera",2,2022,12,9,763,26,2762,162,A#,Major,49,78,64,19,0,11,4,https://i.scdn.co/image/ab67616d0000b2735c7336d25ca101fbb0855647,Oto�o
Feliz Cumpleaï¿½ï¿½os Fe,Feid,1,2022,8,19,3430,38,601863821,95,F,Major,87,57,55,10,0,29,7,Not Found,Verano
Can't Hold Us (feat. Ray Dalton),"Ray Dalton, Ryan Lewis, Macklemore",3,2011,8,16,6074,52,1953533826,146,D,Major,63,88,93,3,0,10,8,Not Found,Verano
lovely - Bonus Track,"Billie Eilish, Khalid",2,2017,8,11,15032,30,2355719893,115,E,Minor,35,12,30,93,0,10,3,Not Found,Verano
"Rauw Alejandro: Bzrp Music Sessions, Vol. 56","Rauw Alejandro, Bizarrap",2,2023,6,21,871,32,66902503,128,B,Major,78,59,65,10,0,26,5,Not Found,Verano
Queencard,(G)I-DLE,1,2023,5,15,451,33,96273746,130,E,Minor,82,69,83,3,0,27,5,https://i.scdn.co/image/ab67616d0000b27382dd2427e6d302711b1b9616,Primavera
OMG,NewJeans,1,2023,1,2,1783,27,430977451,127,A,Minor,80,74,77,36,0,11,4,https://i.scdn.co/image/ab67616d0000b273d70036292d54f29e8b68ec01,Invierno
Radio,Lana Del Rey,1,2011,1,1,9389,46,284819874,150,D,Major,42,20,86,21,0,9,9,https://i.scdn.co/image/ab67616d0000b273f894be72a77b1488292672c7,Invierno
"Shakira: Bzrp Music Sessions, Vol. 53","Shakira, Bizarrap",2,2023,1,11,5724,44,721975598,122,D,Minor,78,50,63,27,0,9,5,Not Found,Invierno
Trance (with Travis Scott & Young Thug),"Travis Scott, Young Thug, Metro Boomin",3,2022,12,2,1682,46,276259178,119,C#,Minor,75,48,53,18,0,18,34,https://i.scdn.co/image/ab67616d0000b27313e54d6687e65678d60466c2,Oto�o
"Tere Vaaste (From ""Zara Hatke Zara Bachke"")","Sachin-Jigar, Shadab Faridi, Altamash Faridi, Amitabh Bhattacharya, Varun Jain",5,2023,5,22,182,8,54225632,110,G,Minor,76,96,72,32,0,9,4,Not Found,Primavera
Perfect,Ed Sheeran,1,2017,1,1,16596,13,2559529074,95,G#,Major,60,17,45,16,0,11,2,https://i.scdn.co/image/ab67616d0000b273ba5db46f4b838ef6027e6f96,Invierno
Romantic Homicide,d4vd,1,2022,7,20,2335,23,681583126,132,F#,Major,56,20,55,45,1,32,3,https://i.scdn.co/image/ab67616d0000b273bd1a52b3d5903ee01c216da0,Verano
Believer,Imagine Dragons,1,2017,1,31,18986,23,2594040133,125,A#,Minor,77,74,78,4,0,23,11,https://i.scdn.co/image/ab67616d0000b2735675e83f707f1d7271e5cf8a,Invierno
Novo Balanï¿½,"Veigh, Bvga Beatz, Supernova Ent, Prod Malax",4,2023,5,19,283,7,81102253,124,D#,Minor,84,65,50,67,0,13,6,Not Found,Primavera
"Gol Bolinha, Gol Quadrado 2","Mc Pedrinho, DJ 900",2,2023,6,1,293,8,11956641,133,B,Minor,93,68,65,42,0,12,25,https://i.scdn.co/image/ab67616d0000b27319d60821e80a801506061776,Primavera
Without Me,Eminem,1,2002,1,1,21081,43,1687664027,112,G,Major,92,67,66,0,0,36,9,https://i.scdn.co/image/ab67616d0000b2736ca5c90113b30c3c43ffb8f4,Invierno
Stargirl Interlude,"The Weeknd, Lana Del Rey",2,2016,11,24,1275,32,611700552,90,F,Minor,59,52,48,38,5,10,11,https://i.scdn.co/image/ab67616d0000b273a048415db06a5b6fa7ec4e1a,Oto�o
Ojitos Lindos,"Bomba Estï¿½ï¿½reo, Bad B",2,2022,5,6,6135,38,1133865788,80,D#,Minor,65,27,69,8,0,53,4,Not Found,Primavera
Somewhere Only We Know,Keane,1,2004,1,1,20015,16,1089402494,172,A,Major,45,33,59,6,0,8,3,https://i.scdn.co/image/ab67616d0000b273045d0a38105fbe7bde43c490,Invierno
Those Eyes,New West,1,2019,5,10,1507,14,411747614,120,E,Major,60,24,35,73,0,31,3,https://i.scdn.co/image/ab67616d0000b2731bb5dc21200bfc56d8f7ef41,Primavera
El Gordo Trae El Mando,Chino Pacas,1,2023,1,27,539,21,255932395,140,G,Minor,74,96,80,18,0,5,5,https://i.scdn.co/image/ab67616d0000b2736a6ab689151163a1e9f60f36,Invierno
Mi Bello Angel,Natanael Cano,1,2023,6,30,86,8,31873544,128,A,Minor,81,90,77,1,0,9,5,https://i.scdn.co/image/ab67616d0000b273e2e093427065eaca9e2f2970,Verano
Nosso Quadro,"Ana Castela, AgroPlay",2,2023,2,2,894,9,233801632,160,A,Major,69,61,71,33,0,31,20,Not Found,Invierno
Locked Out Of Heaven,Bruno Mars,1,2012,12,5,1622,9,1481349984,144,F,Major,73,87,70,6,0,28,5,https://i.scdn.co/image/ab67616d0000b273926f43e7cce571e62720fd46,Oto�o
Un Finde | CROSSOVER #2,"Big One, FMK, Ke personajes",3,2023,4,4,561,14,142095275,192,B,Major,50,85,52,11,0,28,6,Not Found,Primavera
Counting Stars,OneRepublic,1,2013,1,1,29215,43,2011464183,122,C#,Minor,66,48,71,6,0,12,4,https://i.scdn.co/image/ab67616d0000b2739e2f95ae77cf436017ada9cb,Invierno
Ghost,Justin Bieber,1,2021,3,19,5866,24,1167330737,154,D,Major,61,41,74,21,0,40,6,https://i.scdn.co/image/ab67616d0000b273e6f407c7f3a0ec98845e4431,Invierno
